序号,学校名称,2025年入学划片范围
1,成都玉林中学附属小学,肖家河街道办事处所辖永丰社区、兴蓉社区、正街社区以及二环路外的樱花山。
2,成都高新区芳草小学,一环路南三段以南，二环路南三段以北，玉林北路—玉林中路—玉林南路以西，永丰路—衣冠庙以东。
3,四川省成都高新区实验小学,元华一巷6号；元通二巷1号、2号、6号、8号、9号、10号、11号；紫荆东路9号、47号、55号、56号、57号、96号；神仙树北路9号、6号、11号；神仙树南路8号、9号、11号、39号、51号、53号、55号；紫丁巷1号、3号、5号、7号；紫竹北街27号、65号、92号；紫荆南路21号、23号、52号、54号、56号；二环路南三段18号、38号、138号；创业路5号、7号、9号、49号、51号、53号、57号；元通一巷、二巷、元通一巷7号；紫竹西街78号；紫荆巷56号；紫竹南一街2号、4号、5号、8号、23号；紫荆北路3号、8号、16号、38号、58号、86号、174号；新光路8号、60号、62号、68号、70号；火车南站西路34号、44号；紫竹西街28号；紫竹南二街；紫竹中街2号；紫荆西路6号、49号、58号、78号；紫薇东路1号、10号、11号、73号、116号；神仙树西路2号、3号、6号、39号；紫荆北街3号、7号、100号；紫荆大道路188号、218号、272号；创业路3号；丽都路700号、757号。
7,成都市石室天府中学附属小学,成昆铁路以东，府城大道以南，天府大道以西，交子大道以北和成昆铁路以东，交子大道以南，剑南大道以西，锦城大道以北。
8,成都高新区锦城小学,东至天府大道，南至府城大道，西至成昆铁路，北至三环路。包括锦晖西二路222号、锦翠路211号、德赛路88号、锦翠路83号、锦翠路303号、锦晖街33号、圣锦路33号、和盛西街88号、昆和路55号、和盛东街77号、府城大道中段188号、高新区天益街78号、天益街38号、和盛东街88号等。
9,成都市泡桐树小学（天府校区）,北至交子大道，西至剑南大道，南至绕城高速，东至天府大道；锦尚西二路89号、锦悦西路56号（锦悦西二路56号）、锦悦西路196号（锦悦西二路196号）、锦城大道1081号（民丰大道西段717号）、锦城大道1261号（民丰大道西段899号）、锦城大道1000号、锦城大道1288号、锦城大道666号、锦城大道850号、锦城大道817号、交子大道199号、万象南路199号、万象南路188号、成汉南路366号、益州大道北段777号、益州大道北段555号、锦晖路88号、交子大道33号。
10,成都高新区芳草小学,东至天府大道北段，南至三环路四段，西、北至成昆铁路一线。具体街道：广和一街、广和二街、郭家桥、泰和一街、泰和二街、泰和三街、诚通路、诚和路、泰和一街、泰和二街、益州大道北段7号、北段388号、北三段366号。
11,成都高新区锦晖小学/成都高新区锦晖小学（金融城分校）,北至三环路，西至天府大道，南至绕城高速，东与锦江区交界；天府路6、59号、天府大道北(南面路标)、169号、天府路66、126、222、288号、天府街719、680号、天泰路47、287、265号、濯锦路9、28、164号、科华南路316、1366号、锦泰路28号、名都路678号、府城大道东段9号、府城大道东段17号、锦城大道108号、交子大道999号、天府大道北段969号、天府大道1199号、环岛路1200号。
12,成都七中初中附属小学,北与武侯区为界，南至三环路，西至科华南路，东与锦江区交界；桂溪路176号、191号、200号、223号、318号、336号；桂溪东路123号；顺德路340号、272号、266号；金桂路89号、107号、208号、233号、238号；三瓦窑街198号、202号、208号、347号。
13,成都高新区七中初中学校,东至科华南路，南至三环路，西至天府大道，北与武侯区为界。
14,成都蒙彼利埃小学,盛安街18号、天府一街688号、盛安街186号、天府一街899号、天府一街888号、天府一街616号、盛邦街266号、盛安街77号、盛邦街333号。
15,成都高新区益州小学,剑南大道以东，盛治街—肖家河—盛邦街—益州大道—天府一街一线以南，天府大道以西，天府二街以北；盛邦街19号、盛华北路299号、天府二街966号、盛治街429号、天府二街766号、盛华北路516号、盛治街221号、盛华北路288号、吉瑞三路277号、天府二街368号、吉庆一路288号、天府二街266号、吉庆二街138号、吉瑞四路301号、吉庆四路340号、吉瑞三路333号、吉瑞四路399号、吉瑞三路999号、吉瑞一路520号、天府一街369号、吉庆一路388号、吉庆二街333号、益州大道中段699号、益州大道中段599号、吉瑞一路200号、天府大道中段500号、吉庆四路188号、盛治街55号、益州大道999号、吉瑞一路123号。
20,成都霍森斯小学,成都高新区天府一街1339号；成都高新区天府一街1333号；成都高新区天府一街1366号；成都高新区天府一街1566号。
21,成都高新区天府一街分校,大源北二街36号，大源北二街48号，大源北一街25号，大源南二街145号，大源南二街152号，大源南二街178号，大源南二街68号，大源南二街5号，大源南一街120号，大源南一街44号，盛邦街886号，灯塔小区。
22,成都高新区中和小学,中和路、文化街以北，成都绕城高速（四环路）以南，中和新上街、仁和路及中柏大道以西，科华南路以东。
23,成都高新区朝阳小学,康和西三街以北，成都绕城高速（四环路）以南，锦江区以西，中和新上街、仁和路及中柏大道以东。
24,四川省成都市中和中学初中部分校,双化街—中柏路以南，仁和路—润和路以西，吉龙路以北，梓州大道以东。
25,成都高新区波和小学,中服路—康和西三街以南，仁和路—润和路以东，吉龙路以北，东至天府新区交界。
26,四川师范大学附属高新菁蓉小学,天府大道以东，绕城高速路以南，梓州大道（科华南路）以西，老成仁路（锦韵路）以北的闭合部分。
27,成都高新区西芯小学,中海社区汇川街、蓝岸街、碧林街、美墅街、绿茵街、阳光街。
28,成都高新顺江学校,东与青羊区、中海国际社区为界，南与温江区、郫都区为界，西与天府路为界，北至成灌高速（西芯大道）（不含新希望皇冠国际小区）。
29,成都高新新科学校,顺江小区、西汇锦苑、西汇兴苑、金色海伦、龙城高新天地、金辉悦府、西藏卫生厅干休所。
30,成都高新区天辰路小学,保利香槟国际、晨风社区城中村、新希望皇冠国际小区。
31,成都高新区尚阳小学,尚锦路以东，万家福路以西，红光大道以南，西区大道以北（上锦颐园、万景峰、时代睿城、缤纷年华、天宇路101-104号、201-203号）。
32,成都高新滨河学校,恒大帝景；横街街；独怡街；科新路101—103、107—108、201—210、301—307、401—408；西区大道201—209、303—305、306、307—308、402、405—407。
33,电子科大实验中学附属小学/电子科大实验中学附属小学西园分校,天润路、天源路、天盛路、天映路、天欣路、天骄路、天全路、合作路、合顺路、合信路、科新南路。东与天润路为界，南与清水河为界，西与郫县为界，北至成灌高速。
34,成都高新云芯学校,北至清水河，南至棕树木河、康胜路（货运大道），西至德富大道，东至安瑞路（天欣路）。
37,成都高新区蒙新小学,中和A片区：锦华路—吉龙路以南，会龙大道—新通大道以北，东至天府新区交界，西至锦江河以东。
44,成都高新区新川科技园小学,"028-83398075, 18040302031"
45,成都海川小学（暂定名）,18081968997
