学校名称,学校类别,2025年计划入学班数,2025年计划入学人数
简阳市平泉小学,小学,3,135
简阳市杨家学校,九年一贯制,2,90
简阳市施家学校,九年一贯制,3,135
简阳市杨家横范学校,九年一贯制,1,45
简阳市云龙五合学校,九年一贯制,1,45
简阳市云龙小学,小学,2,90
简阳市涌泉学校,九年一贯制,1,45
简阳市云龙金马学校,九年一贯制,1,45
简阳市云龙百堰学校,九年一贯制,1,45
简阳市赤水太平桥学校,九年一贯制,2,90
简阳市射洪坝新合学校,九年一贯制,1,45
简阳市赤水学校,九年一贯制,3,135
简阳市东溪小学,小学,8,360
简阳市射洪坝解放学校,九年一贯制,10,450
简阳市射洪坝第一小学,小学,7,315
简阳市射洪坝简车小学,小学,5,225
简阳市石钟平窝学校,九年一贯制,1,45
简阳市石钟学校,九年一贯制,2,90
简阳市射洪坝水东东小学,小学,13,585
简阳市东溪江南小学,小学,1,45
简阳市赤水石堰学校,九年一贯制,1,45
简阳市简城城北小学,小学,7,315
简阳市简城城西学校,九年一贯制,1,45
简阳市简城城南学校,九年一贯制,4,180
简阳市新市小学,小学,3,135
简阳市简城第三小学,小学,5,225
成都市简阳实验学校,九年一贯制,3,135
简阳市石桥小学,小学,3,135
简阳市华西学校,九年一贯制,2,90
简阳市石桥海井小学,小学,1,45
简阳市实验小学,小学,8,360
简阳市简城第一小学,小学,9,405
简阳市实验中学,十二年一贯制,5,225
简阳市禾丰小学,小学,4,180
简阳市禾丰励志学校,九年一贯制,1,45
简阳市禾丰碑垭学校,九年一贯制,1,45
简阳市禾丰普安学校,九年一贯制,2,90
简阳市三合学校,九年一贯制,2,90
简阳市平武学校,九年一贯制,2,90
