学校名称,划片范围
实验小学,万方街北延伸至山王庙街及康宁街以西，迎宾大道以东，毗河以北(含绿岛)，中兴寺路以南。
金沙小学,迎宾大道以西，毗河以北，中兴寺路以南，金山路、北金园街以东，十里大道延伸至唐巴路青白江界以南。
金山小学,中兴寺路以北，金山路、金园街以西，十里大道延伸至唐巴路青白江界以北，中河以南。
赵镇二小,十里大道以北，万方街北延伸至山王庙街及康宁街以东，金龙路以东至中河、毗河临学校一方。
成师附小金堂分校,金龙路以西，十里大道以南，万方街以东，毗河以北(东到工农大桥，西到金海棠)。
杨柳小学,杨柳桥社区，家珍社区，三合村，香龙山社区第24、25、29、30组。
韩滩小学,毗河以南，韩滩路以西，新龙路以南，鸣凤路以东区域，沱源社区，米家巷社区、石子岭村(川锅路以北)，香龙山社区第20(部分)、21、22组(即原26、27、28组)。
赵镇一小,玉龙社区，三江社区，北滨路社区(青平街以西)。
赵镇三小,北滨路社区(青平街以东)，梅林社区，韩滩社区(韩滩路以东至蟠龙寺，新龙路以北含观澜国际、在水一方、温州商业城等)，赵渡社区原永利小学入学片，棕榈湖国际社区，河湾小区。
云绣小学,云绣社区，香龙山社区(部分)，石槽堰村，栖木河村。
龙威小学,江源村，观音山村，石子岭村(川锅路以南)。
赵镇四小,桐子园村，赵渡社区(不含原永利小学入学片)。
三星小学,竹林社区，兰家店社区，天灯社区，川福号社区(部分)，川锅社区，福兴镇三王庙村部分组。
港青学校,来宝沱村，幸福村，川福号社区(部分)，四方片。
栖贤学校,岳公社区，向前社区，三学寺村，石板村，盐井社区，梨花沟，尖山村。
官仓学校,官仓街道官仓片。
清江学校,官仓街道清江片。
淮口一小,滨江路社区、红岩寺社区、瑞光社区(淮龙路以北)。
瑞光小学,瑞光社区(淮龙路以南)、龙家山社区、粮丰社区、白果街道文武宫社区部分(原顺江村、龙王村、罗盘村)。
淮口二小,淮帆社区、万福社区(含金龙桥万福家苑)、姜棚社区、龚家村(含原小柏村)、天台村(含原长江村3-4组)、舒家湾村(含原长江村1-2组)。
淮口实验小学,红阳社区(原红新社区、巴德社区)、一根松社区、金龙桥社区、龙家山社区(原石心、红光)部分、玉溪沟村部分、高云社区(原正云村、高庙子村)部分、安桥村部分。
淮口四小,同兴社区、望江社区、洲城社区。
五星学校,五星社区、团结社区(原团结社区、帽顶村)、云顶村、山江村(原光荣村全部、原长江5-13组)。
白果小学,文武宫社区，五通村，红石板村，回龙桥村，罗盘村(部分)，马家林村，石心村(部分)，古堰村，高庙子村(部分)，正云村(部分)。
五凤学校,五凤镇。
福兴小学,福乐社区，棠湖社区，东坝社区1-8组(4组和7组部分)，积善村，双宏村，田堰社区，龙河社区，金福村，良园村13-16组;三合碑社区，东坝社区4和7组部分、9-14组，长乐村，三王庙村部分组。
金龙小学,金龙社区，良园村，高粱村，河源村，谢杨坝村，净因寺村。
赵家小学,阳河街社区、莲墩村、金山村、翻山堰，平水桥村，碧山村1-3组、6组、20组、21组，天星洞村、三烈社区、碧山村4-19组(6组除外)、22组。
高板小学,兴桥社区，杨溪社区，玉溪社区(部分)，风林社区，安桥村，石栀子社区，小米塘村，玉亭村;石龙社区，东岳村，高龙社区。
平桥学校,平安桥社区，大禹村，五盛村，三岔河村，同善村，金钱寺村，鸿河村。
三溪小学,三河社区，金河村，黑凤寺社区，金峰村，白云村1-9组，龙桥村。
黄家小学,淮口街道黄家社区，明月社区，白云村10-19组;三溪镇玉堂社区，岳山社区，长林村。
竹篙小学,竹篙寺社区，常乐社区，凉水井社区，红观音社区，老虎寨社区，凤凰社区，八颗松村5-12组，道沟湾社区，金简河村。
青松小学,青松社区，天宝寨村，金华村，八棵松村1-4组，半边街村。
广兴小学,广兴社区1-23组，和平村1-11组，龙兴村1-19组，桂花湾村1-14组，何家沟村1-19组，九龙社区1-31组，宝塔社区1-25组。
转龙学校,桂龙社区1-20组，桑园村1-15组，龙灯桥村1-14组，大桥村1-13组，红豆村1-18组，仁和村1-10组，神仙桥村1-17组。
隆盛小学,隆盛社区，白果湾村，泉水沟村，丰收村(不含1、3组)，新开村(不含1-3组)，石佛村，古顶村。
隆盛希望小学,黄桷桠社区，丰收村1、3组，新开村1-3组。
土桥小学,朝阳社区，永兴社区，花果村，梁家沟村，平山村，湖包村，万安村9组、11—15组，金壶村，云桥社区13、14组。
又新学校,察家河社区，祝新村，净乐村，白鹤村，宝鼎村，三元村1-13组，金龟桥村，红缘村1-23组，金鸡山1组(白塔村13、14组)，永乐社区，油坊堰村，万安村1—8、10组。
云合学校,云桥社区(含原姜家桥村5-15组)，磨盘村，白象村，金鸡山2-14组;三桥村(前进村)，黄鹤村(黄河村)，石河村，天元村，金华村1、2组。
