序号,小学名称,入学方式,服务范围
1,彭州市龙门山学校,单校划片,龙门山镇：白水河社区、湔江源村（国坪村）、三沟村、宝山村、九峰村、团山村、小鱼洞社区、龙源村、湔江源村（董坪村）、渔江村、大湾村、草坝村；桂花镇：金城社区（原潘华村）、鹿坪社区（原滴水村）
2,彭州市白鹿小学,单校划片,白鹿镇：白鹿场社区、塘坝村、白茶村、白鹿顶村、思文场社区、官田村、姚家村、天生桥村
3,彭州市新兴亚东小学,单校划片,通济镇：海窝子社区、花坪村、龙怀村、阳平社区、君山村
4,彭州市桂花学校,单校划片,桂花镇：桂花社区、衡州村、龙头村、红石桥村、利济村、石门村；丹景山镇：双松村（原合并前双松村）
5,彭州市丰乐学校,单校划片,桂花镇：丰乐社区、三圣村、双红村、林泉村
6,彭州市磁峰中远学校,单校划片,桂花镇：磁峰社区、蟠龙村、金城社区、鹿坪社区、石门村、龙头村（原高峰村）、红石桥村；通济镇：君山村、花坪村（原合并前花坪村）
7,彭州航空动力园区实验小学,单校划片,丽春镇：花街子社区、花园社区、航动社区、景林村、黄鹤村、东风村（原东风村）、长廊村（1-5组）、黄龙村、花草村、利和村
8,彭州市庆兴神钢小学,单校划片,丽春镇：谭家场社区、碧鸡村、塔子村、东风村（原跃进村、原东风村4-10组）、长廊村（6-10组）、白果村（1-14组）
9,彭州市北君平小学,单校划片,丽春镇：君平街社区、东风村（原东风村1、2、3、11组）、天鹅村、元义村、白果村（15-19组）、合江村、花棚社区（10-15组）
10,彭州市葛仙山小学,单校划片,葛仙山镇：万年社区、官仓村、华顺村（原百顺村）、井泉村（原八井村）、张泉村、花园村、熙玉村
11,彭州市葛仙山楠杨学校,单校划片,葛仙山镇：楠杨社区、云居村、井泉村（原山泉村）、普红村、楠林社区、群柏村、熙玉村（1-13组）
12,彭州市敖平雅居乐小学,单校划片,敖平镇：敖家场社区、兴平村、紫音泉村、星河村、友谊村、凤泉村、鹤泉村；葛仙山镇：华顺村（原华顺村）
13,彭州市红岩学校,单校划片,敖平镇：红岩子社区、石龙山村、满江村、白塔店村
14,彭州市文翁丹景学校,单校划片,丹景山镇：关口社区、丹景村、双松村、杉柏村、东前社区、石牛社区、武备村（原武备村15-17组）、石河村（除6-8组）
15,彭州市隆丰小学,单校划片,隆丰街道：双桂社区、双河村、集贤村、万皇村、文家村、西京村、九九村、西河村、润丰社区、桂花林村、岚锦村、九龙村；丹景山镇：双松村（原集龙村4、5、7组）、石牛社区（原马桑村1-3、7-9组、原石牛社区1、2、9、12组）、东前社区（原东方村4-6组、前方村2、3、5组）
