序号,学校名称,划片范围
4,郫都区友爱子云学校,户籍在友爱镇三元场社区、石羊村、子云村部分（2020年合并村社前的原子云村各组、合并村社后的子云村1—7组）、龙溪村部分（2020年合并村社前的原龙溪村各组、合并村社后的龙溪村1—7组）、选通村、农科村等地的适龄儿童。三元场社区、迎风村、皇庄村于2020年合并成三元场社区。普兴村并入石羊村。
5,郫都区友爱何家场小学校,户籍在友爱镇弥陀村、青冈村、兴福村、何家场社区等地的适龄儿童。清河村、何家场社区（何家场街村）于2020年合并为何家场社区。梅湾村和青冈村于2020年合并为青冈村。
6,郫都区清河小学校,户籍在友爱镇金台社区、清滨村、升平社区、梓潼村等地的适龄儿童。春白村、顺安村、何家场社区（石家桥街村下街）于2020年合并为梓潼村。何家场社区（石家桥街村上街）并入清滨村。
7,郫都区花园学校,户籍在友爱镇花园村、向阳村、龙溪村部分（2020年合并村社前的原龙溪村各组、合并村社后的龙溪村8—14组）、花园场社区、江安村、子云村部分（2020年合并村社前的原子云村各组、合并村社后的子云村8—12组）适龄儿童。2020年，麻柳社区与七里香村合并为花园场社区；麻柳村并入江安村；新民村并入花园村；永和村、共河村、鹿稿村合并为向阳村。水象村并入龙溪村；白鹤村并入子云村。
8,郫都区红光思源学校,合兴社区（不含时光澜园、学府苑、铁门社区、麓台苑）、三观社区、慈惠社区、金仪社区（不含学府路93号）。
9,郫都区红光思源学校港泰路校区,垒土社区、仁合社区。
10,郫都区红光学府嘉苑小学校,铁门社区、高店社区、时光澜园、学府苑、铁门社区、麓台苑、学府路93号。
11[:],郫都区江安路小学校,白云村、长生村、宋家林村、满庭芳村、护国社区、汉姜村。
12,郫都区安靖学校,户籍在安靖街道土地村、方桥村、高桥村、林湾村、赛驰村、沙湾村、雍渡村、土地村等全街道的适龄儿童。包括安靖北路、安靖下街、御景路140号、方安路269号、东风路69号、金河路188号、靖兴路111号、丰收巷288号等区域。方碑社区（包括原方碑村、安靖下街、御景路140号、方安路269号、东风路69号、金河路188号、靖兴路111号）。喜安社区（包括原喜安村、安靖1—4组、安靖北路、安靖下街、丰收巷288号）。
13,郫都区犀浦实验学校,犀浦街道317线以南，核心路以西区域。主要包括国宁村、犀浦村、两河社区、龙吟村、核心路25、29、31、310、318、499号；两河东路99、162—178号（四、五中心村）；两河东路719号（天辰路190号）、万福路314号、606号、核心路313号、犀牛路路79号、张家石坝街58号、两福路2号、罗家山建筑2号、两河西路169号、两河西路193号、两福街1号、两河新街16号、31号、58号、97号；兴业街4号、44号、46号、104号；兴业南街89号、89号、188号、199号、218号；上街36号、88号、167号；国宁东路166号；下街34号、39号、114号、141号、201号、355号、428号、439号、453号、456号、688号；犀圃路118号；浦棠街7号至96号；犀池东一巷42号；江西路98号、142号、151—191号；江西南先、十、十一巷、浦兴街9号、107号、119号、161号、171号；犀池东路3巷14号；银山北路93号、97号、99号；国宁中路36号、30号、怡白南路59号、112号、190号、234号、252号、254号、255号、270号、286号、290号、307号、310号、312号；犀池三街87号、156号、嘉兴东路1401号（福诚户籍）；泰山三巷19号、51号、曲苑路104号；珠江东路96号。高店东路1399号变更为高店东路1401号。原犀浦镇适龄儿童。
