学校名称,服务范围
外国语小学,户籍在华逸路、红阳东路、石家碾西路以北，新河路、凤凰西七路以西，华逸北路以东，凤灵路以北，同金街以东大弯街道范围的适龄儿童。即华逸路49-99号，红阳东路22-128号，石家碾西路(单号)，红阳路278-363-351-389号，政府北路136-140-155-159-198号，新河路92-166号，凤凰西七路31号，凤凰西八路，凤凰西九路，同华大道1625-1566-1666号，凤祥大道69-78-699号，凤凰大道一段490-2176-2188-2625号，同金街29号，红河社区，凤祥路88号。
华严小学,户籍在华逸路、红阳东路、石家碾西路以南，新河路、青江北路、青江南路以西，同金街以东，华金大道二段以南大弯街道范围的适龄儿童。即华金大道二段431-699号(单号)，华金大道二段406-740-756(双号)，团结北路，团结中路，夏家巷，杨柳路，教育街，青江西路，青江中路，青江南路单号，文化巷，玉带街，窄巷子，正和路，安全巷，三家巷5-7号，怡湖西路，政府中路，政府南路，政安巷，青江北路(双号)，新河路8-48号，华逸路118-688号，红阳路42-164号，政府北路2-5-23-41-59-110号，红阳东路99号，嘉裕街，威凤路，石家碾西路(双号)。
大弯小学,户籍在新河路、青江北路以东，石家碾中路、石家碾东路以南，菁华路以东，同华大道以南，同仁路以西，青江东路、大弯西路、大弯东路以北大弯街道范围的适龄儿童。即华金大道二段45-387号(单号)，华金大道二段30-248号(双号)，华金大道三段1-39-45-55-59-61-118号，青江北路单号，怡湖东路，怡湖北路，芳邻路，公园巷，青江东路单号，大弯北路，大弯西路双号，大弯东路双号，学苑路218号，文汇路，大弯1、6、9组，怡湖社区1组，新河路5-9号，菁华路39-85-116号，石家碾中路(单号)，石家碾东路(单号)，安居路9-12-39-88-119-142号，同华大道177—199号。
大弯小学南区分校,户籍在青江南路以东，青江东路、大弯西路、大弯东路以南大弯街道范围的适龄儿童，大同西路以南，巨石大道以西大同街道范围的适龄儿童。即青江东路双号，大弯西路单号，大弯东路单号，大同西路单号，大弯中路，大弯南路，建设巷，憩园路，粮食巷，邮电巷，锦绣巷，果市巷，白塔巷，青江南路双号，青华西路，青华中路，青华东路，化工北路，化工南路，市场巷，大夫巷，建安街，肖家巷，长流河路，团结东路，黄金北路，通站路，学苑路456号，大夫东路，大夫北路，长流河社区。
大弯小学北区分校,户籍在凤凰西二路以东，同华大道、华金大道三段以北大弯街道范围的适龄儿童;凤凰大道三段以南，凤凰东四路以西，华金大道三段以北大同街道范围的适龄儿童。即大弯凤凰西二路50-138号，凤凰西一路，凤凰大道二段699—765—888号，凤凰大道三段8号，凤凰路，华金大道三段152-156号，凤凰东一路，凤凰东二路，凤凰东三路，凤凰东四路222号，大同镇凤祥大道1266-1366号-1699号，大同镇同福西路、同福东路。
大同小学,户籍在凤凰大道三段以北，凤凰东四路以东，华金大道三段以南、同仁路以东、大同西路以北大同街道范围的适龄儿童。即大同凤凰东六路157号，凤凰大道三段361—495号，凤祥大道2215-2966号，金同二路146号，大同路233-299-518号，南阁路450号，凤巢二路387号，凤福路66号，大同西路双号，同仁路，黄金路，界牌村、青龙村、同福村，一心社区、新峰社区、红光社区、五里村、西林社区。
实验小学,户籍在新河路、凤凰西七路以东，石家碾中路、石家碾东路以北，菁华路、凤凰西二路以西，凤祥大道以南大弯街道范围的适龄儿童。即新河路173-177号，安居路219号，凤凰西五路28号，凤凰西六路28号，凤凰西七路28号，栖凤街，凤凰西三路，凤凰西二路1号，石家碾中路(双号)，石家碾东路(双号)，同华大道259号，凤祥大道800号。
实验小学北区分校,户籍在凤凰西七路以东，凤祥大道以北，凤凰西二路以西大弯街道范围的适龄儿童。即革新社区，凤凰大道一段2699-2799-2899号，凤祥大道861-955-971-975-1019-1051号，凤凰西四路9-66号，金凤路33号，栖凤路一段358号。
实验小学西区分校,户籍在华逸北路以西，凤灵路以南，凤祥路和同金街以西，华金大道二段以北大弯街道范围的适龄儿童。华逸中路199-999-1333-1365号，华逸中路188-1336-1366号，红峰社区，凤凰大道一段88-198号，华逸路609-111号，华逸路198-518-546-688号，华金大道二段769-799-819号，红华街299号，同金街400号。
弥牟小学,弥牟镇7个村(社区)的户籍适龄儿童：唐家寺社区、火星社区、国光社区、白马村、曙光村、狮子村、三星社区。
城厢学校,城厢镇6个村(社区)的户籍适龄儿童：槐树街社区(含原朝阳路社区)、绣川河社区、马鞍社区、茶花社区、沿沱村(含原前锋村)、龙潭社区(含原金河村)。
