学校,就学服务范围
寿安学校,寿安镇百花社区、寿安镇复兴社区（距离寿安学校较近的组）、寿安镇苦竹村（距离寿安学校较近的组）、寿安镇岷江村（距离寿安学校较近的组）、寿安镇清水村（距离寿安学校较近的组）、寿安镇万寿街、寿安镇吴家场社区（含吉祥街、万寿街、政星街、通柳街、平安街、圣安街）、寿安镇新林村、寿安镇喻庙村、寿安镇长青村、万春镇生态大道寿安段、桅杆路、金河阳光苑、百花路、桂雨路、温玉路寿安段、安民巷
通平小学,寿安镇复兴社区（距离通平小学较近的组）、寿安镇苦竹村（距离通平小学较近的组）、寿安镇天星村、寿安镇天源村、寿安镇团结桥社区、万春镇永和社区（距离通平小学较近的组）、通河路、寿安镇星鹤苑、团结正街、申柳路、通柳北街
玉石小学,寿安镇东岳社区、寿安镇岷江村（距离玉石小学较近的组）、寿安镇清水村（距离玉石小学较近的组）、寿安镇胜利村、寿安镇汪家湾社区、寿安镇浣沙苑、寿安天恩苑
踏水学校,万春镇红旗村（距离踏水学校较近的组）、万春镇黄石社区（距离踏水学校较近的组）、万春镇金星村（距离踏水学校较近的组）、生态大道踏水段、万春镇踏水桥社区、万春镇新升村、万春镇南岳社区（4-7组）、先锋村（距离踏水学校较近的组）、万春镇绿园路（江安河以西）、幸永路、绿篱路、报恩家园
万春学校,万春镇报恩村、万春镇春江路社区、春江南路1688号、春江西路、春乡街、万春镇高山村（距离万春学校较近的组）、万春镇和林村、万春镇三井村（距离万春学校较近的组）、万春镇天乡路社区、天乡路二段88号、万春天乡路一段2366号、万春镇先锋村（距万春学校较近的组）、万春镇鱼凫村、万春镇长石社区、万春镇大同上郡、大同路、鱼凫桥北街、万春镇春江里、江宁中路、江宁北路、绿园路（江安河以东）、春风路、春平路、春乡街、白鹭路、春燕路、天乡路一段1366号、鱼凫老街、春和路、高科路
镇子小学,杜鹃西路、古镇街、万春镇红专社区、万春镇生态大道镇子段、万春镇先锋村（距离镇子小学较近的组）、万春镇新河村、万春镇幸福村、万春镇永和社区（距离镇子小学较近的组）、万春镇镇江村、镇子场社区
东一北校区,万春镇黄石社区（距离东一北校区较近的组）、红旗村（距离东一北校区较近的组）、天乡路二段（968号、939号、888号、855号、878号、2号）、万春镇花容路、万春镇生态大道踏水段299号、金兰楠苑楼盘、万春镇南岳社区成温邛高速北一侧、和盛镇友庆（和盛金盘路距离东一北校区较近的组）
永盛学校,金鸡社区、尚合社区、盛丰街、石磊社区、团结社区、兴达路、永盛场社区、盛锦街、尚石路（北段、南段）、永通路、金河苑小区、金马永科社区、黄家碾老街、盛兴街、劳模路、永宏路、永江路、合宣路
金马学校,二道街、四道街、光明社区、横湖路、金泉社区、刘家壕(壕）社区、刘家壕（壕）街、六合街、七色街、四友村、太极大道、同福社区、温泉社区、温泉大道三段、温泉大道四段、五湖街、新春社区、兴元社区、一元街、三阳街、四海街、檬桥路、科华路（蓉西新城A/B区、鱼凫家园A/B区）、朗河路、清泰路、科源路、刘柑路、金湖大道、友福社区、兴科社区、大堰村、兴园村、新村路、兴元路、月漾路、金泉路50号、友贤路、金西街、金马镇新科社区、府金路、飞霞路
公平学校,飞龙街、公平分水惠和村、和平街、公平红桥社区、公平惠民社区、惠民路（门牌号为双号）、惠民正街、公平建安村、建安南巷、公平龙凤社区、龙凤街、公平太极社区、五福东巷、正阳街、公平正宗社区（距离公平学校较近的组）、惠民北街、民乐南巷、公平天乡路一段、五江街、惠民南一巷（二、三、四巷）、民乐北巷、昌平街、锦绣巷、民飞路、公平大道、五江街、建安北巷、太极北巷（南巷）、五福西巷、万花街、惠民南街、惠民东一巷（二、三巷）、飞龙一巷（二、三、四、五、六巷）、合江巷、万春镇高山村（距离公平学校较近的组）、万春镇三井村（距离公平学校较近的组）、锦绣城、民惠东巷、民惠巷、红桥街
成都师范学院附属实验学校,海科路东段（519号、555号）、锦绣大道南段43号、科兴路（东段、西段）、天府前进（1-12组）、天府青泰寺（1-17组）、天府青泰园、学府路南段、天府游家渡小区、科林路、锦府橫街、新华大道695号、锦府路198号
西南财大附属实验小学,海科路东段688号、和盛镇春林村、和盛镇东宫寺社区、和盛镇临江村、和盛镇綦临社区、和盛镇铁篱村、和盛镇兰亭社区、和盛镇金盘路、天府街西段、天府街中段、天府金府社区、金府路中段、锦苑巷、新桥街、天府学府社区、天府学府芳邻（1-15号）、学府路北段、学海路、天府梓潼社区、蓉台大道北段、金桥路、天府东路、德全路、德全北街、德全横街、德全中街、德全南街、德全东路、潼新路、维新中街、新桥巷、维潼路、维新北街、金府路东段、福兴街、梓潼街、新柏街、中铁北街、维新路、柏树街、德全支路、学府北路、维新村、府通路（3067号、3091号、3099号）、大明村、润潼路、府兴路、维新南街、金新路、中苑街、天府金义村、润潼南巷
