学校名称,划片范围
成都市新津区外国语实验学校(小学部),①东至金马河，南至南河，西至瑞通路-(五津东路)-林园路-(武阳中路)-武阳南路，北至太康东路-清源路-(五津东路);②东至金马河，南至(太康东路)-清源路-(五津东路)，西至瑞通路，北至大件路。
五津长岛小学(项目名称),①东至金马河，南至(太康东路)-清源路-(五津东路)，西至瑞通路，北至大件路;②东至金马河，南至南河，西至瑞通路-(五津东路)-林园路-(武阳中路)-武阳南路，北至太康东路-清源路-(五津东路)
成都市新津区第一小学,东至武阳南路，西至金 三角，南至南河，北至武阳中路-武阳西路。
成都市新津区实验小学(南区),东至瑞通路-(五津东路)-林园路，南至武阳中路-武阳西路，北至迎宾大道(大件路)。
成都市新津区实验小学(北区),纯阳路、兴园九路以东，希望路以西，兴园六路以南，迎宾大道、大件路以北。
成都市新津区希望城小学,希望路以东，兴园一路以西，兴园六路以南，迎宾大道、大件路以北。
成都市新津区顺江学校,兴园六路以北，五津街道吴店社区、临江社区、工业园区A区。
成都市新津区第三小学,金马河以东，五津街道城东社区原五津街道桥津社区区域、花桥街道黄桷树社区、长春村、蔡湾村(不含原龚巷村区域)。
成都市新津区花桥小学,花桥街道金桥村、焦严村、筒车村、马王村、方井村、蔡湾村原花桥镇龚巷村区域。
成都市新津区天府牧山学校,①花源街道青瓷路以南、杨柳河以西、大件路以东、二绕以北(花源界)的区域;②花源街道行政区域范围内。
成都市新津区牧山新城小学,①花源街道除青瓷路以南、杨柳河以西、大件路以东、二绕以北(花源界)以外的区域;②花源街道行政区域范围内。
成都市泡桐树小学天府智造园分校,①高速路以东-西创大道以南区域，普兴街道白果村、清凉社区、五星社区、回龙村、宝峰社区、岳店村、养正社区原金华镇砖桥村区域;②普兴街道行政区域范围内。
成都市新津区普兴小学,①普兴街道五峰社区、山河村、骑龙社区、雷坡村、天宫社区(不含原袁山村)、养正社区(西创大道以北区域);②普兴街道行政区域范围内。
成都市新津区黄渡小学,①普兴街道顺河社区、柳江村、天宫社区原普兴镇袁山村区域;②普兴街道行政区域范围内。
成都市新津区永商学校,南河以南，永商镇车灌社区、望江社区、梨花村。
成都市新津区邓双学校,永商镇新河村、文山村、季河村、金龙村、邓公社区、罗山村、何店村。
成都市新津区永商小学,永商镇烽火村、九莲村、永兴社区。
成都市新津区泰华学校,兴园九路-纯阳路-(黄鹤大道)-五河路以西，宝墩镇太平场社区、仙鹤村、迎仙村、狮子村、董大桥村1-7组。
成都市新津区龙马小学,宝墩镇宝墩村、龙马村、万街村、董大桥村8-11组。
成都市新津区文井小学,宝墩镇张场社区、玉龙村。
成都市新津区安西小学,安西镇月花村、新漕村、安西村。
成都市新津区方兴小学,安西镇方兴社区、柏杨村、花碑社区、白鹤村。
成都市新津区万和小学,兴义镇行政区域范围内。
